epoch,train_loss,val_loss
1,1.3531732674104622,1.2905435800552367
2,1.2528097500284034,1.2561888694763184
3,1.188353496861745,1.2164305448532104
4,1.134209161781403,1.1847749948501587
5,1.089255584291665,1.1660250425338745
6,1.0515266096735576,1.1472660303115845
7,1.0170078521751496,1.1270119190216064
8,0.9837850641055279,1.1084841728210448
9,0.9563723572765488,1.0925654411315917
10,0.9266700399927346,1.0850362062454224
11,0.9013226039438362,1.0750959396362305
12,0.871681869748127,1.0846459865570068
13,0.8476977147251726,1.0915560245513916
14,0.8230279425540602,1.0699522495269775
15,0.7991659942879734,1.0719693660736085
16,0.7773951837815434,1.0626424074172973
17,0.7558515876172537,1.0784722089767456
18,0.7345265731754074,1.088804054260254
19,0.7148546835026109,1.0916366100311279
20,0.6945361128772598,1.0955978393554688
21,0.6765504062893879,1.1078197717666627
22,0.6577669439545597,1.1055224418640137
23,0.6434195917772959,1.1329254865646363
24,0.626605273011219,1.1347999095916748
25,0.6120380400175072,1.1471309661865234
26,0.5974650074200458,1.170828938484192
27,0.5838603779494044,1.1653667211532592
28,0.566840542368142,1.1783465147018433
29,0.5554978086287716,1.1958573818206788
30,0.5444754204118109,1.1921137571334839
31,0.5325715581336653,1.2147175550460816
